"Country","State.Region","City","Meetup","Twitter","Email","Facebook","Instagram","LinkedIn","Periscope","Youtube","GitHub","Website","Slack","Current_Organizers","Former_Organizers","Status"
"Argentina","R<ed>o Negro","Bariloche","https://www.meetup.com/rladies-bariloche/","https://twitter.com/RLadiesBRC","bariloche@rladies.org","https://www.facebook.com/rladies.bariloche",NA,NA,NA,NA,NA,NA,"rladies-brc.slack.com","Lina Moreno Az<f3>car, Sof<ed>a Ruiz, Paula Fergnani",NA,"Active"
"Argentina","Santa Fe","Santa Fe","https://www.meetup.com/rladies-santa-fe/","https://twitter.com/RLadiesSantaFe","santafe@rladies.org","https://www.facebook.com/RLadiesSantaFe/","https://www.instagram.com/rladiessantafe/",NA,NA,"https://www.youtube.com/channel/UCOFcXLjW9atcEuCa5kbOPSw","https://github.com/rladies/meetup-presentations_santafe",NA,NA,"Melina Vidoni, Liza Dosso, Andrea Bergesio, Mariel Lovatto, Cecilia Rom<e1>n Miyasato",NA,"Active"
"Argentina","Tierra del Fuego","Ushuaia","https://www.meetup.com/rladies-ushuaia/","https://twitter.com/RLadiesUshuaia","ushuaia@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_ushuaia",NA,NA,"Luc<ed>a Rodr<ed>guez Planes, Sami Dodino",NA,"Active"
"Australia",NA,"Adelaide","https://www.meetup.com/rladies-adelaide/","https://twitter.com/RLadiesAdelaide","adelaide@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_adelaide",NA,NA,"Marija Dmitrijeva, Helen Dockrell, Rachel Searston, Melaine Smith, Brittany Child",NA,"Active"
"Australia",NA,"Cairns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Martha Cooper",NA,"Prospective"
"Australia",NA,"Canberra","https://www.meetup.com/rladies-canberra/","https://twitter.com/RLadiesCanberra","canberra@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Emi Tanaka, Alice Richardson, Petra Kuhnert, Pauline O'Shaughnessy, Jiali Wang",NA,"Active"
"Australia",NA,"Melbourne","https://www.meetup.com/rladies-melbourne/","https://twitter.com/RLadiesMelb","melbourne@rladies.org","https://www.facebook.com/RladiesMelbourne",NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_melbourne",NA,NA,"Anna Quaglieri, Sepideh Foroutan, Alex Garnham, Marie Trussart, Lucy Liu, Adele Barugahare, Nikki Rubinson",NA,"Active"
"Australia",NA,"Perth","https://www.meetup.com/rladies-perth/","https://twitter.com/rladiesperth","perth@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Alyce Russell, Nicola Armstrong, Rebecca Lange, Sarita Bennett",NA,"Active"
"Australia",NA,"Sydney","https://www.meetup.com/rladies-sydney/","https://twitter.com/RLadiesSydney","sydney@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladiessydney","https://rladiessydney.org/",NA,"Jenny Richmond",NA,"Active"
"Australia",NA,"Townsville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legana Fingerhut",NA,"Prospective"
"Australia","Northern Territory","Darwin","https://www.meetup.com/rladies-darwin/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Petra Kuhnert",NA,"Active"
"Australia","Queensland","Brisbane","https://www.meetup.com/rladies-brisbane/","https://twitter.com/RLadiesBrisbane","brisbane@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_brisbane",NA,"r-ladiesbrisbane.slack.com","Paula Andrea Martinez",NA,"Active"
"Austria",NA,"Linz","https://www.meetup.com/rladies-linz/","https://twitter.com/RladiesLinz","linz@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_linz",NA,NA,"Lucia Gjeltema",NA,"Retired on 29-09-2019"
"Austria",NA,"Vienna","https://www.meetup.com/rladies-vienna/","https://twitter.com/RLadiesVienna","vienna@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Laura Vana",NA,"Active"
"Bahrain",NA,"Muharraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fatima Alaradi",NA,"Prospective"
"Belgium",NA,"Brussels","https://www.meetup.com/rladies-brussels/","https://twitter.com/RladiesBrussels","brussels@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_brussels",NA,NA,"Suzan Baert, Huong Nguyen",NA,"Active"
"Belgium",NA,"Leuven","https://www.meetup.com/rladies-leuven/","https://twitter.com/RLadiesLeuven","leuven@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_leuven",NA,NA,"Theresa Elise Wege, Veronica Llorens",NA,"Retired on 01-04-2020"
"Benin",NA,"Cotonou","https://www.meetup.com/rladies-cotonou/","https://twitter.com/RLadiesCtn","cotonou@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Nadejda Sero, Benedicta Essuon",NA,"Active"
"Bolivia",NA,"Cochabamba","https://www.meetup.com/rladies-cochabamba/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abigail Geronimo Jimenez",NA,"Active"
"Bolivia",NA,"La Paz","https://www.meetup.com/rladies-la-paz/","https://twitter.com/RLadiesLaPaz","lapaz@rladies.org","https://facebook.com/rladieslapaz",NA,NA,NA,NA,NA,NA,NA,"Nathaly Alarcon, Orietha Castillo, Ruth Chirinos",NA,"Active"
"Bolivia",NA,"Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vanesa Bejarano Alegre",NA,"Prospective"
"Botswana","South East District","Gaborone","https://www.meetup.com/rladies-gaborone/","https://twitter.com/RLadiesGaborone","https://www.facebook.com/RLadiesGaborone","https://www.linkedin.com/company/r-ladies-gaborone/",NA,NA,NA,NA,NA,NA,NA,"Simisani Ndaba",NA,"Active"
"Brazil",NA,"Brasilia","https://www.meetup.com/rladies-brasilia/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Juliana Silva de Deus",NA,"Active"
"Brazil",NA,"S<e3>o Mateus","https://www.meetup.com/rladies-sao-mateus/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Daniela Cassol, Liz Nascimento",NA,"Active"
"Brazil","Amazonas","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Themis Le<e3>o, Amazoneida Pinheiro, Camila Pinheiro, M<e1>rcia Brand<e3>o, Jocely Lopes, Paula dos Santos, Emilly Malveira, Hanna Oliveira, Yanna de Freitas, Ewila Costa",NA,"Prospective"
"Brazil","Bahia","Salvador","https://www.meetup.com/rladies-salvador/","https://twitter.com/RLadiesSalvador","salvador@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Karla Patricia Santos Oliveira Rodriguez Esquerre, J<fa>lia Carolina",NA,"Active"
"Brazil","Cear<e1>","Fortaleza","https://www.meetup.com/rladies-fortaleza/",NA,"fortaleza@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Ta<ed>s Maria Nunes Carvalho",NA,"Active"
"Brazil","Esp<ed>rito Santo","Vit<f3>ria","https://www.meetup.com/rladies-vitoria/",NA,"vitoria@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_vitoria",NA,NA,"Ornella Scardua, Agatha Rodrigues",NA,"Active"
"Brazil","Goi<e1>s","Goi<e2>nia","https://www.meetup.com/rladies-goiania/",NA,"goiania@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Fernanda Kelly",NA,"Active"
"Brazil","Minas Gerais","Belo Horizonte","https://www.meetup.com/rladies-belo-horizonte/","https://twitter.com/RLadiesBH","belohorizonte@rladies.org","https://www.facebook.com/rladiesbh","https://www.instagram.com/rladiesbh/",NA,NA,"https://www.youtube.com/rladiesbelohorizonte","https://github.com/rladies/meetup-presentations_belohorizonte","http://rladiesbh.com.br/",NA,"Layla Comparin, Larissa Sayuri, Numi<e1> Gomes, Ana Carolina Dias",NA,"Active"
"Brazil","Minas Gerais","Lavras","https://www.meetup.com/rladies-lavras/",NA,"lavras@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Izabela Oliveira, Paula Santos",NA,"Active"
"Brazil","Paraiba","Campina Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hadrizia Santos, Dandara Sousa",NA,"Prospective"
"Brazil","Parana","Curitiba","https://www.meetup.com/rladies-curitiba/",NA,"curitiba@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_curitiba",NA,NA,"Suellen Teixeira Zavadzki de Pauli, Jhenifer Caetano, Bruna Wundervald",NA,"Retired on 04-04-2020"
"Brazil","Pernambuco","Recife","https://www.meetup.com/rladies-recife/",NA,"recife@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_recife",NA,NA,"Larissa Lima, Nath<e1>lia Demetrio Vasconcelos Moura, Edneide Ramalho, Anny Kerollayny, Bruna Gregory Palm, Cristine Rauber Oliveira, Anabeth Petry Rad<fc>nz, Ranah Duarte Costa, Luana Rodrigues, Heloisa de Melo Rodrigues",NA,"Active"
"Brazil","Piaui","Teresina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rita de C<e1>ssia de Lima Idalino",NA,"Prospective"
"Brazil","Rio de Janeiro","Niteroi","https://www.meetup.com/rladies-niteroi/",NA,"niteroi@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Noelle Camello, Luciane Alcoforado, Julia Hellen Franco Ferreira",NA,"Active"
"Brazil","Rio de Janeiro","Rio de Janeiro","https://www.meetup.com/rladies-rio/","https://twitter.com/RLadiesRio","rio@rladies.org","https://www.facebook.com/rladiesrio","https://www.instagram.com/Rladiesrio/",NA,NA,NA,"https://github.com/rladies/meetup-presentations_rio",NA,NA,"Beatriz Pinna, Clemencia Mora, Priscila Hohberg, Sara Mortara, Noele Ribeiro",NA,"Active"
"Brazil","Rio Grande do Norte","Natal","https://www.meetup.com/rladies-natal/","https://twitter.com/RladiesNatal","natal@rladies.org","https://www.facebook.com/R-ladies-Natal-1601745646525923/",NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_natal",NA,NA,"Milagros Villavicencio, Lumi Mevi",NA,"Active"
"Brazil","Rio Grande do Sul","Porto Alegre","https://www.meetup.com/rladies-porto-alegre/","https://twitter.com/RLadiesPOA","poa@rladies.org","https://www.facebook.com/RLadiesPortoAlegre/",NA,NA,NA,NA,NA,NA,NA,"Iara Passos",NA,"Active"
"Brazil","Santa Catarina","Florian<f3>polis","https://www.meetup.com/rladies-florianopolis/","https://twitter.com/RLadiesFloripa","florianopolis@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Camila Thais Weber",NA,"Active"
"Brazil","Santa Catarina","Lages",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simone Silmara Werner",NA,"Prospective"
"Brazil","S<e3>o Paulo","Americana","https://www.meetup.com/rladies-americana/","https://twitter.com/RLadiesAME",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mariana Mendes",NA,"Retired on 29-09-2019"
"Brazil","S<e3>o Paulo","Piracicaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cristiane Hayumi Taniguti",NA,"Prospective"
"Brazil","S<e3>o Paulo","Ribeir<e3>o Preto","https://www.meetup.com/rladies-ribeirao-preto/",NA,"ribeirao-preto@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Francesca Belem Lopes Palmeira",NA,"Active"
"Brazil","S<e3>o Paulo","S<e3>o Carlos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mayara Formenton, Marina de Souza Paiva",NA,"Prospective"
"Brazil","S<e3>o Paulo","S<e3>o Jos<e9> dos Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Let<ed>cia Silva",NA,"Prospective"
"Brazil","S<e3>o Paulo","S<e3>o Paulo","https://www.meetup.com/rladies-sao-paulo/","https://twitter.com/RLadiesSaoPaulo","saopaulo@rladies.org","https://www.facebook.com/rladiessaopaulo/","https://www.instagram.com/rladiessaopaulo/",NA,NA,"https://www.youtube.com/c/RLadiesS%C3%A3oPaulo/","https://github.com/rladies/meetup-presentations_sao-paulo",NA,NA,"Hayd<e9>e Svab,  Alissa Munerato, Bruna Wundervald, Beatriz Milz, Bruna Garbes, Nath<e1>lia Demetrio, Jean Prado, Renata Hirota",NA,"Active"
"Brazil","Tocantins","Palmas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katiuscia Martos",NA,"Prospective"
"Bulgaria",NA,"Sofia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mimi Lazarova",NA,"Prospective"
"Cameroon",NA,"Yaounde","https://www.meetup.com/rladies-yaounde/",NA,"yaounde@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Marie Therese Feujio",NA,"Active"
"Canada","Alberta","Calgary","https://www.meetup.com/rladies-calgary/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marta Vidal Garc<ed>a, Soane Mota dos Santos",NA,"Active"
"Canada","Alberta","Edmonton",NA,NA,"edmonton@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Sarah Sheldon",NA,"Prospective"
"Canada","British Columbia","Vancouver","https://www.meetup.com/rladies-vancouver/","https://twitter.com/RLadiesVan","vancouver@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_vancouver",NA,NA,"Anna Posacka, Marion Shadbol, Nazli <d6>z<fc>m Kafaee, Ra<ef>ssa Philibert, Jasmine Lai, Lucia Darrow, Lisa Cao",NA,"Active"
"Canada","British Columbia","Victoria","https://www.meetup.com/rladies-victoria/","https://twitter.com/RLadiesVicBC","victoriabc@rladies.org",NA,NA,NA,NA,NA,"https://github.com/RLadiesVicBC",NA,NA,"Lisa McEwen",NA,"Retired on 29-09-2019"
"Canada","Manitoba","Winnipeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarah Mutch",NA,"Prospective"
"Canada","Ontario","Kingston","https://www.meetup.com/rladies-kingston/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nerissa Mulligan",NA,"Active"
"Canada","Ontario","London","https://www.meetup.com/rladies-ldnont/","https://twitter.com/RLadiesLdnOnt","ldnont@rladies.org","https://www.facebook.com/rladiesldnont",NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_london_ontario",NA,NA,"Daryn Cushnie-Sparrow, Caitlin Coughler, Olivia Daub",NA,"Active"
"Canada","Ontario","Ottawa","https://www.meetup.com/rladies-ottawa/",NA,"ottawa@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Reiko Okamoto","Michelle Fairbrother, Stephanie Houle","Active"
"Canada","Ontario","Toronto","https://www.meetup.com/rladies-toronto/","https://twitter.com/rladiestoronto","toronto@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_toronto",NA,"rladiestoronto.slack.com","Sharla Gelfand, Monica Alexander, Nicole Radziwill",NA,"Active"
"Canada","Ontario","Waterloo","https://www.meetup.com/rladies-waterloo/","https://twitter.com/RLadiesWaterloo","waterloo@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Lauren Yee",NA,"Retired on 29-09-2019"
"Canada","Qu<e9>bec","Montr<e9>al","https://www.meetup.com/rladies-montreal/","https://twitter.com/RLadiesMTL","montreal@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_montreal",NA,NA,"Corinne Riddell, Kathryn Morrison",NA,"Active"
"Canada","Nova Scotia","Halifax","https://www.meetup.com/rladies-halifax/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily O'Grady",NA,"Active"
"Chile",NA,"Concepci<f3>n","https://www.meetup.com/rladies-concepcion/",NA,"concepcion@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Macarena Valenzuela Beltr<e1>n, Camila Molina",NA,"Active"
"Chile",NA,"Talca","https://www.meetup.com/rladies-talca/",NA,"talca@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Alejandra Andrea Tapia Silva",NA,"Active"
"Chile","Metropolitana","Santiago de Chile","https://www.meetup.com/rladies-scl/","https://twitter.com/RLadiesSantiago","santiago@rladies.org","https://www.facebook.com/RLadiesSantiago/",NA,NA,NA,NA,"https://github.com/rladieschile",NA,NA,"Gabriela Sandoval, Riva Quiroga, Stephanie Orellana, Sara Acevedo",NA,"Active"
"Chile","Valpara<ed>so","Valpara<ed>so","https://www.meetup.com/rladies-valparaiso/","https://twitter.com/RLadiesValpo","valparaiso@rladies.org","https://www.facebook.com/RLadiesValpo/",NA,NA,NA,NA,NA,NA,NA,"Riva Quiroga, Tatiana Canales",NA,"Active"
"China",NA,"Beijing","https://www.meetup.com/rladies-beijing/",NA,"beijing@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Xu Sabrina, Zuqun WANG, Hannah Rose Kirk, Clara WANG, Xiaolin LIU, Yujie GUO, Angelle LIU",NA,"Active"
"Colombia",NA,"Barranquilla","https://www.meetup.com/rladies-barranquilla/","https://twitter.com/RLadiesBquilla","barranquilla@rladies.org",NA,"https://instagram.com/rladiesbquilla/",NA,NA,"https://www.youtube.com/channel/UCHITDNNHzEXfD8AzSFQOh9A","https://github.com/rladies/meetup-presentations_barranquilla",NA,NA,"Mary Rivero, Isabel V<e1>zquez, Viviana Fl<f3>rez, Danisse Carrascal, Mar<ed>a Arrieta.",NA,"Active"
"Colombia",NA,"Bogot<e1>","https://www.meetup.com/rladies-bogota/","https://twitter.com/RLadiesBogota","bogota@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Ver<f3>nica Toro",NA,"Active"
"Colombia",NA,"Bucaramanga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Viviana Romero Alarcon",NA,"Prospective"
"Colombia",NA,"Manizales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Beatriz Mira",NA,"Prospective"
"Colombia",NA,"Medellin","https://www.meetup.com/rladies-medellin/","https://twitter.com/RLadiesMedellin","medellin@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Angie Correa, Valentina Clavijo, Sara Garc<e9>s, Olga <da>suga, Carmen Pati<f1>o",NA,"Active"
"Colombia",NA,"Cali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isabel Cristina Garcia Arboleda",NA,"Prospective"
"Costa Rica",NA,"San Jos<e9>","https://www.meetup.com/rladies-san-jose/","https://twitter.com/RLadiesCR","sanjoseCR@rladies.org","https://www.facebook.com/R-Ladies-San-Jos%C3%A9-CR-113831192660935",NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_sanjose",NA,NA,"Marcela Alfaro-C<f3>rdoba, Fabiola Salazar, Jimena Ruiz, Andrea Vargas, Daniely Hern<e1>ndez, Mar<ed>a Paula Mesen, Paula Rodr<ed>guez",NA,"Active"
"Croatia",NA,"Zagreb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ana Jankovic, Maja Kuzman",NA,"Prospective"
"Denmark",NA,"Aarhus",NA,NA,"aarhus@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Bel<e9>n Jim<e9>nez, Sara Tomiolo, Elena Dudukina",NA,"Prospective"
"Denmark",NA,"Copenhagen","https://www.meetup.com/rladies-copenhagen/","https://twitter.com/RLadiesCPH","copenhagen@rladies.org",NA,NA,NA,NA,NA,NA,NA,NA,"Kristina Gregorio, Diana Lucatero",NA,"Active"
"Dominican Republic",NA,"Santo Domingo","https://www.meetup.com/rladies-santo-domingo/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lissette Rodriguez, Chigeira De La Rosa",NA,"Active"
"Ecuador",NA,"Guayaquil","https://www.meetup.com/rladies-guayaquil/","https://twitter.com/RLadiesGye","guayaquil@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_guayaquil",NA,NA,"Zulemma Bazurto, Diana Minda, Linda Cabrera Orellana",NA,"Active"
"Ecuador",NA,"Puerto Ayora","https://www.meetup.com/rladies-galapagos-islands/","https://twitter.com/RLadiesGps","galapagos@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_galapagos-islands",NA,NA,"Denisse Fierro Arcos",NA,"Active"
"Ecuador",NA,"Quito","https://www.meetup.com/rladies-quito/","https://twitter.com/RLadiesQuito","quito@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_quito",NA,"https://rladies-quito.slack.com/","Elena Chicaiza, Carolina Ca<f1>izares, Rosi Bola<f1>os",NA,"Active"
"Egypt",NA,"Cairo","https://www.meetup.com/rladies-cairo/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amany Salem",NA,"Active"
"Estonia",NA,"Tallinn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merilin Paas",NA,"Prospective"
"Ethiopia",NA,"Addis Ababa","https://www.meetup.com/rladies-addis-ababa/","https://twitter.com/RLadiesAddis","addisababa@rladies.org",NA,NA,NA,NA,NA,NA,"https://r-ladies-addis.github.io/rladies-addis/",NA,"Margareth Gfrerer",NA,"Active"
"Ethiopia",NA,"Wolkite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mekdes Dessie Assena",NA,"Prospective"
"Finland",NA,"Helsinki","https://www.meetup.com/rladies-helsinki/","https://twitter.com/RLadiesHelsinki","helsinki@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_helsinki",NA,NA,"Suvi Vasama, Eija-Leena Koponen",NA,"Active"
"France",NA,"Bordeaux","https://www.meetup.com/rladies-bordeaux/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natalija Plasonja, H<e9>l<e8>ne Labarre, Sandra Aka",NA,"Active"
"France",NA,"Grenoble",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paulina Jedynak",NA,"Prospective"
"France",NA,"Lyon","https://www.meetup.com/rladies-lyon/","https://twitter.com/RLadiesLyon","lyon@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_lyon",NA,NA,"Shama Virani, Hannah Lennon, Citadel Cabasag, Nada Assi, Florence Guida",NA,"Active"
"France",NA,"Montpellier","https://www.meetup.com/rladies-montpellier/","https://twitter.com/RLadiesMontpel","montpellier@rladies.org",NA,NA,NA,NA,NA,"https://github.com/r-ladies-montpellier",NA,NA,"C<e9>cile Sauder, Criscely Luj<e1>n, Faustine Bousquet",NA,"Active"
"France",NA,"Paris","https://www.meetup.com/rladies-paris/","https://twitter.com/RLadiesParis","paris@rladies.org","https://fb.me/RLadiesParis","https://www.instagram.com/rladiesparis/","https://www.linkedin.com/company/r-ladies-paris/",NA,"https://www.youtube.com/channel/UCWTFKtW_ReLP9zmMTYjRqug","https://github.com/r-ladies-paris/",NA,NA,"Mouna Belaid","Diane Beldame, Christina Bergmann, Sarah Hosking, Stéphanie Terrasse","Active"
"France",NA,"Strasbourg","https://www.meetup.com/rladies-strasbourg/","https://twitter.com/RLadiesStras","strasbourg@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_strasbourg",NA,NA,"Rita Giordano",NA,"Active"
"Georgia",NA,"Tbilisi","https://www.meetup.com/rladies-tbilisi/","https://twitter.com/RLadiesTbilisi","tbilisi@rladies.org","https://www.facebook.com/rladiestbilisi",NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_tbilisi",NA,NA,"Liili Abuladze, Tamuna Margievi, Mariam Asatiani",NA,"Active"
"Germany",NA,"Berlin","https://www.meetup.com/rladies-berlin/","https://twitter.com/RLadiesBerlin","berlin@rladies.org","https://www.facebook.com/RLadiesBerlin",NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_berlin",NA,"https://rstats-germany.slack.com/","Christin Zasada, Noa Tamir, Hannah Tillmann",NA,"Active"
"Germany",NA,"Cologne","https://www.meetup.com/rladies-cologne/","https://twitter.com/rladies_cologne","cologne@rladies.org",NA,NA,"https://www.linkedin.com/company/r-ladies-cologne/",NA,NA,NA,NA,NA,"Cosima Meyer, Gabe Winter, Paula Nemcova","Luciana Imbiriba","Active"
"Germany",NA,"Freiburg","https://www.meetup.com/rladies-freiburg/","https://twitter.com/RLadiesFreiburg","freiburg@rladies.org",NA,NA,NA,NA,NA,"https://github.com/rladies/meetup-presentations_freiburg",NA,NA,"Elisa Schneider, Kyla McConnell, Julia M<fc>ller","Divya Seernani","Active"
